Req#,Requirement,Explanation,Testable Assertions,Test cases,Tags,Priority,Version & Section/Sub-Section,Comments,Status,Date Integrated,AHA Idea reference
,Consistent vocabulary id for xAPI community,"xAPI spec. has only guaranteed data structure interoperability. To guarantee semantic interoperability for xAPI data sent by different systems, there should not be multiple ids for one semantic meaning. There are a lot of considerations in vocab. id, including naming appropriateness, naming structure, id persistence, both human-readable and machine-readable required, and CoP management... these are all documented in ADL's publications as below. It seems to me there is no enough awareness about all these, and people just choose whatever others used (for example, what you get when you google tin can api), or just create their own. Even we spent the efforts to work with ADL (Jason Haag, thanks!!!) for building AcrossX vocab. (https://w3id.org/xapi/acrossx ( http://w3id.org/xapi/acrossx )) We still need to handle multiple ids issue in Visca (http://www.visualcatch.org/ ( http://www.visualcatch.org/ )) .



Vocab Spec. from ADL ‰ÛÒ gitbook: http://bit.ly/read-vocab-spec ( http://bit.ly/read-vocab-spec )



Vocab Primer from ADL ‰ÛÒ gitbook: http://bit.ly/read-vocab-primer ( http://bit.ly/read-vocab-primer )



Guidelines for IRI Design and Persistence ( http://purl.org/xapi/iri-design )



Controlled Vocabulary Considerations for the Experience API (xAPI) ( https://docs.google.com/document/d/1zBPKryuF1tXHTI-AYjXd0ctdWoq4o4P-Uq9SAhJfus0/edit )



Jessie Chuang



xAPI Chinese CoP Lead",,,"ID,Verb,Activity",5,,"Jason Haag Aug 11, 2016

I don't feel this impacts LRS conformance testing. It does impact learning analytics quality, querying, and reporting. This more in line with best practices, governance, and improving semantic interoperability in general of xAPI data. This requirement does indicate a challenge we currently have with decentralization of xAPI vocabularies managed by CoPs. I will write up a more detailed response with more explanation. For now, I would categorize this requirement as impacting LRS conformance testing.



Jason Haag Aug 11, 2016

correction: I would NOT categories this requirement as impacting LRS conformance testing.



Jason Haag Aug 11, 2016.

I wanted to follow up on this thread with more thoughts on this topic of consistent vocabulary IRIs. This issue has started to rear it‰Ûªs ugly head more frequently during the past few years. The question being asked here is ‰ÛÏDoes IRI consistency or duplication impact LRS conformance?‰Û



I don‰Ûªt believe it impacts our immediate conformance requirements or the LRS tests for the conformance test suite. Please voice your perspectives or opinions if you disagree. Besides impacting the potential for semantic interoperability of data used for things like personalized, adaptive learning, I believe a more immediate impact of this issue is on learning analytics (querying, reporting), xAPI adoption, maturity, and standardization of the spec.



The Activity Streams Vocabulary and IRIs are a real problem mostly because nobody from the xAPI community created them. If any community of practice creates a profile with vocabulary identifiers that happen to unknowingly conflict with Activity Streams identifiers then some LRS developers/consultants have stated this causes a ""multiple identities issue.‰Û I'm not sure what this means in detail, but I think it basically means that it makes generating reports and analytics tougher on the LRS or the person writing the queries.



Take a look at these attachments for an example of duplicates: https://drive.google.com/drive/u/0/folders/0BxhK5TH2EspheEM5YXFZaXpfN0E ( https://drive.google.com/drive/u/0/folders/0BxhK5TH2EspheEM5YXFZaXpfN0E )



We put together two spreadsheets showing duplicate verb IRIs. This problem actually existed long before the ADL vocabulary guidance/practices were published earlier this year. And there are probably many more IRIs out there in the wild that we don't even know about. We conducted a quick comparison of the tincan registry verbs and the verbs published on the ADL vocab server. Which came first? Activity Streams or ADL verbs? The Chicken or the Egg? I‰Ûªm not sure, but there are many conflicts between those verbs alone. Has this conflict been identified previously? Or are people and LRS implementations just handling it in different ways? If so, the fact that they are handling it differently and rejecting some IRIS but not others is a real threat to interoperability, isn‰Ûªt it? If this ‰ÛÏmultiple identities‰Û / IRIs issue is really a problem for reporting then why are there multiple identifiers for several of the Activity Streams IRIs for the exact same ADL verbs (which are pretty much canonical)? Verbs such as: attended, completed, experienced, interacted, satisfied, shared, and terminated are examples of this. These are all ADL verbs duplicated in the Activity Streams vocabulary and both are listed in the TinCan registry.



And also take a look at this document the vocabulary group circulated last October: https://docs.google.com/document/d/1wscWLBX_LmM4BOej5MLMaoJsu2aZvMOxjRGLycLoxlU/edit ( https://docs.google.com/document/d/1wscWLBX_LmM4BOej5MLMaoJsu2aZvMOxjRGLycLoxlU/edit ) (excellent comments/thoughts from Andrew Downes and others)



Yet another problem with decentralization is that now even authoring tools are allowing people to create their own verb IRIs on-the-fly within their authoring tool, creating more even more potential problems for duplication. If we all start to embrace existing web standards and practices such as publishing our IRIs as Linked Data it would help enable some really cool things such as allowing authoring tool vendors to provide real-time approved/curated list of terms. We‰Ûªve proven this with our vocabulary spec, primer, and research published earlier this year by the vocab working group. While CoPs are starting to apply these practices for vocabulary IRIs, how do we deal with the others?



The core problem is that our vocabulary model and the process of generating IRIs is too decentralized and not heavily curated. Anyone can do whatever they want without a governing process to truly manage and approve it all. The TinCan registry was an early attempt to solve this problem, but there seems to be so much flexibility and widespread adoption of xAPI that it is impossible to enforce using a centralized approach unless it is put directly back into the spec language. How do we check for consistency and quality of IRIs? I could be wrong, but I don‰Ûªt think this can be enforced as a conformance requirement right now. Perhaps there is a way for a Learning Record Provider (LRP) conformance test of some sort that dereferences the IRIs used in statements to help enforce this practice in the future? Anyhow, I digress‰Û_



I believe we need a renewed strategy to centralize all xAPI IRIs. I‰Ûªm not sure if this would present breaking changes to the spec or not. What are your thoughts?



Moving forward I propose we version out all of the existing Activity Streams identifiers as well as any duplicate identifiers, and have the community come to a consensus on ADL or someone else becoming the single authority for xAPI vocabulary identifiers. In fact, there‰Ûªs no reason it couldn‰Ûªt be managed by the community as a GitHub repo with several companies and organizations committing to being a unified ‰ÛÏcommunity authority‰Û for maintaining it. Some tools and processes would need to be put in place for this to work. However, how would something like this impact existing LRS implementations? I‰Ûªm have not built an LRS so it would be good to hear what other LRS implementors/vendors think.



Removing core IRIs from the spec and the general decentralization of IRIs and metadata to CoPs was a good idea at the time, but appears to be causing problems in hindsight. Now we have vendors saying they won't adopt what was in the current spec and are only supporting IRIs of their choosing? I'm afraid our efforts a creating a vocabulary server and publishing tools are going to be futile if we don't first force the community to acknowledge the problem, version the old IRIs to new ones, and accept some type of centralization and formal process around identifier publishing & management moving forward.



It is going to take a serious community commitment and overarching strategy. It‰Ûªs nobody‰Ûªs fault really that this problem exists. The fact is that it is a result of being early adopters of an evolving, quickly adopted brilliant spec. I believe it‰Ûªs a problem that can be solved if we can come to an agreement.



jessie@classroomaid.org Aug 18, 2016

Thanks a lot for Jason's comment which is very thorough on this issue.



I suggest we look back on what we advocate about xAPI and its promise. What does it take to get there really? And we should communicate clearly there are several crucial elements to achieve data interoperability, so what we call ""compliance"" might have level 1, 2, 3., to get to what xAPI promises.



This issue might not impact so called LRS compliance, if we define clearly what ""LRS compliance"" mean - a LRS is only a big data storage, nothing more.(not guarantee data interoperability, and no data analytics)



As from our experience of providing xAPI analytics, it's a cost that we need to do the mapping and translation for vocab.



I agree with Jason:



I believe we need a renewed strategy to centralize all xAPI IRIs. Moving forward I propose we version out all of the existing Activity Streams identifiers as well as any duplicate identifiers, and have the community come to a consensus on ADL or someone else becoming the single authority for xAPI vocabulary identifiers.



ADL is currently still the stewardship of xAPI, so it seems the governance needs to come from ADL. But ADL can distribute/delegate the responsibility to appropriate parties such as CoP.(those really hands on very dirty with the mess and know it well)



jessie@classroomaid.org Aug 18, 2016

Sorry I am the guest in this issue, because I didn't login until submitting stuffs so it shows guest. -- Jessie",New,,XAPI-I-467
,The display property MUST NOT be used to alter the meaning of a Verb. (No way to validate this),,,,Defined by spec,0,,,Integrated,,XAPI-I-466
,The display property MUST be used to illustrate the meaning which is already determined by the Verb IRI. (No way to automate this),,,,Defined by spec,0,,,Integrated,,XAPI-I-465
,An LRS accepts GET requests without Content-Length headers Implicit,,,,Implied by spec,0,,"Russell Duhon Aug 01, 2016

GET (and HEAD) requests are never sent (except by accident) with content-length, they have no content



Aaron Silvers Aug 11, 2016

To be removed as a requirement",Integrated,,XAPI-I-464
,An LRS accepts HEAD requests without Content-Length headers (7.10.a.b),,,,Defined by spec,0,,"Aaron Silvers Aug 11, 2016

This should be removed",Integrated,,XAPI-I-463
,"An LRS responds to a HEAD request in the same way as a GET request, but without the message-body (7.10.a, 7.10.a.a) This means run ALL GET tests with HEAD",,,,Defined by spec,0,"""1.0.2_ref_text"": ""7.10.a, 7.10.a.a"",

""1.0.2_ref"": ""7.10.a, 7.10.a.a"",

""1.0.3_ref"": ""part3.1.1.a, part3.1.1.a.a"",

""1.0.3_link"": [

""Communication.md#1.1.s3.b1""

]",,Integrated,,XAPI-I-462
,An LRS accepts HEAD requests (7.10.a),,,,Defined by spec,0,"""1.0.2_ref_text"": ""7.10.a"",

""1.0.2_ref"": ""7.10.a"",

""1.0.3_ref"": ""part3.1.1.a"",

""1.0.3_link"": [

""Communication.md#1.1""

]",,Integrated,,XAPI-I-461
,An LRS will reject a Cross Origin Request or new Request which contains any extra information with error code 400 Bad Request Implicit,,,,Implied by spec,0,,,Integrated,,XAPI-I-460
,An LRS will reject a new cross origin Request which attempts to send attachment data with error code 400 Bad Request (7.8.d),,,,Defined by spec,0,"""1.0.2_ref_text"": ""7.8.d"",

""1.0.2_ref"": ""7.8.d"",

""1.0.3_ref"": ""part3.1.3.attachments"",

""1.0.3_link"": [

""Communication.md#1.3.s3.b15""

]","Russell Duhon Aug 01, 2016

Requests are allowed to include attachments; given the section referenced, I'm assuming this is about sending an attachment with the Alternate Request Syntax; this requirement should probably be clearer on what it means technically ""attempts to send attachment data"" as I can imagine several interpretations. Btw, all the section references seem to be to 1.0.2, which is being radically reorganized in 1.0.3, which should be ready very soon.



Aaron Silvers Aug 11, 2016

More specificity required. More definition around how to test as well.",Integrated,,XAPI-I-459
,"An LRS will reject a new Request with a form parameter named ""content"" if ""content"" is found to be binary data with error code 400 Bad Request (7.8.c)",,,,Defined by spec,0,"""1.0.2_ref_text"": ""7.8.c"",

""1.0.2_ref"": ""7.8.c"",

""1.0.3_ref"": ""part3.1.3.content"",

""1.0.3_link"": [

""Communication.md#1.3.s3.b5""

]","Russell Duhon Aug 01, 2016

I'm confused by this one; all data that can arrive via HTTP is binary data. Is this intended to mean ""not UTF-8""?



Aaron Silvers Aug 11, 2016

An LRS will reject a new Request with a form parameter named ""content"" if ""content is found not to be UTF-8.



Test of the Document API, sent with a header that is UTF-8, UTF-16, others that might be ""kinda like UTF-8""",Integrated,,XAPI-I-458
,"An LRS will treat the content of the form parameter named ""content"" as a UTF-8 String (7.8.c)",,,,Defined by spec,0,,,Integrated,,XAPI-I-457
,"An LRS will reject any request sending content which does not have a form parameter with the name of ""content"" (7.8.c)",,,,Defined by spec,0,"""1.0.2_ref_text"": ""7.8.c"",

""1.0.2_ref"": ""7.8.c"",

""1.0.3_ref"": ""part3.1.3.content"",

""1.0.3_link"": [

""Communication.md#1.3.s3.b4""

]",,Integrated,,XAPI-I-456
,An LRS rejects a new Request in the same way for violating rules of this document as it would a normal Request,,,,Implied by spec,0,"""1.0.2_ref"": ""Implicit"",

""1.0.3_ref"": ""part3.1.3, Implicit"",

""1.0.3_link"": [

""Communication.md#1.3""

]",,Integrated,,XAPI-I-455
,An LRS will map form parameters from the body of the Cross Origin Request to the similarly named HTTP Headers in the new Request (7.8.b),,,,Defined by spec,0,"""1.0.2_ref_text"": ""7.8.b"",

""1.0.2_ref"": ""7.8.b"",

""1.0.3_ref"": ""part3.1.3.headers"",

""1.0.3_link"": [

""Communication.md#1.3.s3.b7""

]",,Integrated,,XAPI-I-454
,"An LRS must parse the body of a Cross Origin Request and construct a new Request from it with the type of Request being the same as the value of the ""method"" parameter (7.8.a, 7.8.b)",,,,Defined by spec,0,"""1.0.2_ref_text"": ""7.8.a, 7.8.b"",

""1.0.2_ref"": ""7.8.a, 7.8.b"",

""1.0.3_ref"": ""part3.1.3.method, part3.1.3.headers"",

""1.0.3_link"": [

""Communication.md#1.3.s3.b6""

]",,Integrated,,XAPI-I-453
,A Cross Origin Request is defined as this POST request as described in the previous requirement (definition),,,,Defined by spec,0,,,Integrated,,XAPI-I-452
,"Any LRS API that accepts a POST request can accept a POST request with a single query string parameter named ""method"" on that request (7.8.a)",,,,Defined by spec,0,"""1.0.2_ref_text"": ""7.8.a"",

""1.0.2_ref"": ""7.8.a"",

""1.0.3_ref"": ""part3.1.3"",

""1.0.3_link"": [

""Communication.md#1.3.s3.b2""

]",,Integrated,,XAPI-I-451
,"An LRS's About API upon processing a successful GET request can return an Extension with code 200 OK (multiplicity, 7.7.table1.row2.c, 7.7.c)",,,,"Defined by spec,Multiplicity,About API",0,"""1.0.2_ref_text"": ""multiplicity, 7.7.table1.row2.c, 7.7.c"",

""1.0.2_ref"": ""7.7.table1.row2.c, 7.7.c"",

""1.0.3_ref"": ""part3.2.8.table1.row2.c, part3.2.8.c"",

""1.0.3_link"": [

""Communication.md#2.8.s4.table1.row2""

]•ÈÀ",,Integrated,,XAPI-I-450
,"An LRS's About API's version property can only have values of "".9"", "".95"", ""1.0"", ""1.0.0"", or """"1.0."" + X"" with (7.7.d.a)",,,,"Defined by spec,About API",0,"""1.0.2_ref_text"": ""7.7.d.a"",

""1.0.2_ref"": ""7.7.d.a"",

""1.0.3_ref"": ""part3.2.8.d.a"",

""1.0.3_link"": [

""Communication.md#2.8.s5.b1.b1""

]","Russell Duhon Aug 01, 2016

The About API version property cannot have value ""1.0"". That value is a special shorthand only allowed in x-experience-api-version.



Aaron Silvers Aug 11, 2016

In a 1.0 LRS, it could have more values as well.



Check for special accepted values (0.9, 0.95) - check for proper form of 1.0.x ()



This requirement needs to be both corrected and revised, as ""1.0"" is not a legal value for the About API version property.



All other values than 0.9 and 0.95 must follow semantic versioning rules.",Integrated,,XAPI-I-449
,"An LRS's About API's version property contains at least one string of ""1.0.1"" (7.7.d)",,,,"Defined by spec,About API",0,"""1.0.2_ref_text"": ""7.7.d"",

""1.0.2_ref"": ""7.7.d"",

""1.0.3_ref"": ""part3.2.8.d"",

""1.0.3_link"": [

""Communication.md#2.8.s5.b1.b1""

]",,Integrated,,XAPI-I-448
,"An LRS's About API's version property is an array of strings (format, 7.7.table1.row1.a)",,,,"Defined by spec,About API,Format",0,"""1.0.2_ref_text"": ""format, 7.7.table1.row1.a"",

""1.0.2_ref"": ""7.7.table1.row1.a"",

""1.0.3_ref"": ""part3.2.8.table1.row1.a"",

""1.0.3_link"": [

""Communication.md#2.8.s4.table1.row1""

]",,Integrated,,XAPI-I-447
,"An LRS's Activity Profile API upon processing a successful GET request returns a version property and code 200 OK (multiplicity, 7.7.table1.row1.c, 7.7.c)",,,,"Defined by spec,Activity Profile API,Multiplicity",0,"""1.0.2_ref_text"": ""multiplicity, 7.7.table1.row1.c, 7.7.c"",

""1.0.2_ref"": ""7.7.table1.row1.c, 7.7.c"",

""1.0.3_ref"": ""part3.2.8.table1.row1.c, part3.2.8.c"",

""1.0.3_link"": [

""Communication.md#2.8.s4""

]",,Integrated,,XAPI-I-446
,An LRS's About API accepts GET requests (7.7.b),,,,"Defined by spec,About API",0,"""1.0.2_ref_text"": ""7.7.b"",

""1.0.2_ref"": ""7.7.b"",

""1.0.3_ref"": ""part3.2.8"",

""1.0.3_link"": [

""Communication.md#2.8""

]",,Integrated,,XAPI-I-445
,"An LRS's returned array of ids from a successful GET request all refer to documents stored after the TimeStamp in the ""since"" parameter of the GET request if such a parameter was present (7.6.table4.row2, 7.6.g)",,,,"Defined by spec,TimeStamp",0,"""1.0.2_ref_text"": ""7.6.table4.row2, 7.6.g"",

""1.0.2_ref"": ""7.6.table4.row2, 7.6.g"",

""1.0.3_ref"": ""part3.2.6.table2.row2, part3.2.6.d"",

""1.0.3_link"": [

""Communication.md#2.7.s4.table1.row2""

]",,Integrated,,XAPI-I-444
,"An LRS's Agent Profile API upon processing a successful GET request without ""profileId"" as a parameter returns an array of ids of agent profile documents satisfying the requirements of the GET and code 200 OK (7.6, 7.6.g)",,,,"Defined by spec,Agent Profile API",0,"""1.0.2_ref_text"": ""7.6, 7.6.g"",

""1.0.2_ref"": ""7.6, 7.6.g"",

""1.0.3_ref"": ""part3.2.6.d"",

""1.0.3_link"": [

""Communication.md#2.6.s4""

]",,Integrated,,XAPI-I-443
,"An LRS's Agent Profile API upon processing a successful GET request with a valid ""profileId"" as a parameter returns the document satisfying the requirements of the GET and code 200 OK (7.6, 7.6.f)",,,,"Defined by spec,Agent Profile API",0,"""1.0.2_ref_text"": ""7.6, 7.6.f"",

""1.0.2_ref"": ""7.6, 7.6.f"",

""1.0.3_ref"": ""part3.2.6.c"",

""1.0.3_link"": [

""Communication.md#2.6.s3""

]",,Integrated,,XAPI-I-442
,"An LRS's Agent Profile API rejects a GET request with ""since"" as a parameter if it is not a ""TimeStamp"", with error code 400 Bad Request (format, 7.6.table4.row2.a)",,,,"Defined by spec,Format,Agent Profile API",0,"""1.0.2_ref_text"": ""format, 7.6.table4.row2.a"",

""1.0.2_ref"": ""7.6.table4.row2.a"",

""1.0.3_ref"": ""part3.2.6.table2.row2.a"",

""1.0.3_link"": [

""Communication.md#2.6.s4.table1.row2""

]",,Integrated,,XAPI-I-441
,"An LRS's Agent Profile API can process a GET request with ""since"" as a parameter (Multiplicity, 7.6.table4.row2.a, 7.5.table4.row2.c)",,,,"Defined by spec,Agent Profile API,Multiplicity",0,"""1.0.2_ref_text"": ""Multiplicity, 7.6.table4.row2.a, 7.5.table4.row2.c"",

""1.0.2_ref"": ""7.6.table4.row2.a"",

""1.0.3_ref"": ""part3.2.6.table2.row2.a"",

""1.0.3_link"": [

""Communication.md#2.6.s4.table1.row2""

]",,Integrated,,XAPI-I-440
,"An LRS's Agent Profile API rejects a GET request with ""agent"" as a parameter if it is not an Actor Object with error code 400 Bad Request (format, 7.6.table3.row1.c, 7.6.table4.row1.c)",,,,"Defined by spec,Format,Agent Profile API",0,"""1.0.2_ref_text"": ""format, 7.6.table3.row1.c, 7.6.table4.row1.c"",

""1.0.2_ref"": ""7.6.table3.row1.c, 7.6.table4.row1.c"",

""1.0.3_ref"": ""part3.2.6.table1.row1.c, part3.2.6.table1.row1.c"",

""1.0.3_link"": [

""Communication.md#2.6.s4.table1.row1""

]",,Integrated,,XAPI-I-439
,"An LRS's Agent Profile API rejects a GET request without ""agent"" as a parameter with error code 400 Bad Request (multiplicity, 7.6.table3.row1.c, 7.6.table4.row1.c)",,,,"Defined by spec,Agent Profile API,Multiplicity",0,"""1.0.2_ref_text"": ""multiplicity, 7.6.table3.row1.c, 7.6.table4.row1.c"",

""1.0.2_ref"": ""7.6.table3.row1.c, 7.6.table4.row1.c"",

""1.0.3_ref"": ""part3.2.6.table1.row1.c, part3.2.6.table1.row1.c"",

""1.0.3_link"": [

""Communication.md#2.6.s4.table1.row1""

]",,Integrated,,XAPI-I-438
,An LRS's Agent Profile API accepts GET requests (7.6),,,,"Defined by spec,Agent Profile API",0,"""1.0.2_ref_text"": ""7.6"",

""1.0.2_ref"": ""7.6"",

""1.0.3_ref"": ""part3.2.6"",

""1.0.3_link"": [

""Communication.md#2.6.s2""

]",,Integrated,,XAPI-I-437
,An LRS's Agent Profile API upon processing a successful DELETE request deletes the associated profile and returns code 204 No Content (7.6.e),,,,"Defined by spec,Agent Profile API",0,"""1.0.2_ref_text"": ""7.6.e"",

""1.0.2_ref"": ""7.6.e"",

""1.0.3_ref"": ""part3.2.6.b"",

""1.0.3_link"": [

""Communication.md#2.6.s3""

]",,Integrated,,XAPI-I-436
,"An LRS's Agent Profile API rejects a DELETE request with ""profileId"" as a parameter if it is not type ""String"" with error code 400 Bad Request (format, 7.6.table3.row2.a)",,,,"Defined by spec,Agent Profile API,Format",0,"""1.0.2_ref_text"": ""format, 7.6.table3.row2.a"",

""1.0.2_ref"": ""7.6.table3.row2.a"",

""1.0.3_ref"": ""part3.2.6.table1.row2.a"",

""1.0.3_link"": [

""Communication.md#2.6.s3.table1.row2""

]",,Integrated,,XAPI-I-435
,"An LRS's Agent Profile API rejects a DELETE request without ""profileId"" as a parameter with error code 400 Bad Request (multiplicity, 7.6.table3.row2.c)",,,,"Defined by spec,Agent Profile API,Multiplicity",0,"""1.0.2_ref_text"": ""multiplicity, 7.6.table3.row2.c"",

""1.0.2_ref"": ""7.6.table3.row2.c"",

""1.0.3_ref"": ""part3.2.6.table1.row2.c"",

""1.0.3_link"": [

""Communication.md#2.6.s3.table1.row2""

]",,Integrated,,XAPI-I-434
,"An LRS's Agent Profile API rejects a DELETE request with ""agent"" as a parameter if it is not an Agent Object with error code 400 Bad Request (format, 7.6.table3.row1.a)",,,,"Defined by spec,Agent Profile API,Format",0,"""1.0.2_ref_text"": ""format, 7.6.table3.row1.a"",

""1.0.2_ref"": ""7.6.table3.row1.a"",

""1.0.3_ref"": ""part3.2.6.table1.row1.a"",

""1.0.3_link"": [

""Communication.md#2.6.s3.table1.row1""

]",,Integrated,,XAPI-I-433
,"An LRS's Agent Profile API rejects a DELETE request without ""agent"" as a parameter with error code 400 Bad Request (multiplicity, 7.6.table3.row1.c)",,,,"Defined by spec,Multiplicity,Agent Profile API",0,"""1.0.2_ref_text"": ""multiplicity, 7.6.table3.row1.c"",

""1.0.2_ref"": ""7.6.table3.row1.c"",

""1.0.3_ref"": ""part3.2.6.table1.row1.c"",

""1.0.3_link"": [

""Communication.md#2.6.s3.table1.row1""

]",,Integrated,,XAPI-I-432
,An LRS's Agent Profile API accepts DELETE requests (7.6),,,,"Defined by spec,Agent Profile API",0,"""1.0.2_ref_text"": ""7.6"",

""1.0.2_ref"": ""7.6"",

""1.0.3_ref"": ""part3.2.6"",

""1.0.3_link"": [

""Communication.md#2.6.s2""

]",,Integrated,,XAPI-I-431
,An LRS's Agent Profile API upon processing a successful POST request returns code 204 No Content (7.6.e),,,,"Defined by spec,Agent Profile API",0,"""1.0.2_ref_text"": ""7.6.e"",

""1.0.2_ref"": ""7.6.e"",

""1.0.3_ref"": ""part3.2.6.b"",

""1.0.3_link"": [

""Communication.md#2.6.s3""

]",,Integrated,,XAPI-I-430
,"An LRS's Agent Profile API rejects a POST request with ""profileId"" as a parameter if it is not type ""String"" with error code 400 Bad Request (format, 7.6.table3.row2.a)",,,,Defined by spec,0,,,Integrated,,XAPI-I-429
,"An LRS's Agent Profile API rejects a POST request without ""profileId"" as a parameter with error code 400 Bad Request (multiplicity, 7.6.table3.row2.c)",,,,"Defined by spec,Agent Profile API,Multiplicity",0,"""1.0.2_ref_text"": ""multiplicity, 7.6.table3.row2.c"",

""1.0.2_ref"": ""7.6.table3.row2.c"",

""1.0.3_ref"": ""part3.2.6.table1.row2.c"",

""1.0.3_link"": [

""Communication.md#2.6.s3.table1.row2""

]",,Integrated,,XAPI-I-428
